"PVWatts: Hourly PV Performance Data"
"Requested Location:","-37.5310668,143.8158656"
"Location:","BALLARAT AERODROME, AUSTRALIA"
"Lat (deg S):","37.52"
"Long (deg E):","143.78"
"Elev (m):","436"
"DC System Size (kW):","1500"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","10"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","No utility data available"
"Capacity Factor (%)","13.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"12","8","22","0","0","9","1.2","0","9","0","0"
"12","8","23","0","0","7.9","0","0","7.9","0","0"
"12","9","0","0","0","7.3","0","0","7.3","0","0"
"12","9","1","0","0","8","0","0","8","0","0"
"12","9","2","0","0","7.4","0","0","7.4","0","0"
"12","9","3","0","0","8.1","0","0","8.1","0","0"
"12","9","4","0","1","7.1","0","0","7.1","0","0"
"12","9","5","1","28","9.8","0","28.014","6.863","39092.887","31517.059"
"12","9","6","1","90","10.6","3.2","89.385","11.066","122674.375","115130.688"
"12","9","7","3","172","13.1","5.1","171.069","15.211","230498.641","222729.844"
"12","9","8","4","257","11.5","3.9","255.15","16.006","342661.969","334340.313"
"12","9","9","5","332","11.5","3.7","329.312","17.965","438408.969","429358.313"
"12","9","10","5","385","10.5","3.1","381.117","18.809","505459.844","495757.656"
"12","9","11","5","412","11","2.6","407.475","20.623","535949.688","525912.813"
"12","9","12","5","412","10.7","0","407.498","27.879","518071.313","508233.594"
"12","9","13","6","384","10.1","0","381.078","26.412","487862.844","478342.875"
"12","9","14","5","331","10.3","0","328.391","24.524","424153.781","415226.656"
"12","9","15","4","257","10.3","1.2","255.083","17.586","340159.563","331853.813"
"12","9","16","3","172","11","3.6","170.814","13.889","231561.016","223788.5"
"12","9","17","2","90","10.2","1.5","89.268","11.367","122315.469","114772.031"
"12","9","18","1","28","10","0","27.681","8.336","38387.281","30810.416"
"12","9","19","0","1","9.7","0","0.978","5.823","1373.924","0"
"12","9","20","0","0","9.1","0","0","9.1","0","0"
"12","9","21","0","0","8.3","0","0","8.3","0","0"
"12","9","22","0","0","7.5","0","0","7.5","0","0"
"12","9","23","0","0","7.3","0","0","7.3","0","0"
"12","10","0","0","0","6.7","0","0","6.7","0","0"
"12","10","1","0","0","6.9","0.5","0","6.9","0","0"
"12","10","2","0","0","6.3","0","0","6.3","0","0"
"12","10","3","0","0","6.6","0","0","6.6","0","0"
"12","10","4","1","2","7.1","0","0","7.1","0","0"
"12","10","5","6","53","8.2","0","58.229","6.55","81020.234","73483.078"
"12","10","6","22","160","9.3","3.6","168.637","11.657","229440.063","221674.938"
"12","10","7","52","282","10","4.6","307.466","15.165","412525.313","403695.063"
"12","10","8","77","391","11.4","5.5","435.129","18.629","576135.125","565620.438"
"12","10","9","83","480","12.1","6","533.591","20.858","700414.813","688158.5"
"12","10","10","75","544","13.6","6.7","594.714","22.9","773789.688","760317.875"
"12","10","11","66","578","12.6","5.9","622.351","23.245","808603.938","794506.75"
"12","10","12","67","578","12.5","5.7","623.788","23.441","809747.25","795628.938"
"12","10","13","76","543","10.7","5.1","596.602","21.891","779983.75","766402.938"
"12","10","14","86","477","11.8","5.6","536.727","21.228","703587.75","691281.813"
"12","10","15","82","388","11.4","5.9","439.748","18.711","582542.313","571947.625"
"12","10","16","56","280","12.2","6.7","309.648","16.673","413227.938","404391.938"
"12","10","17","24","159","10.5","6.9","167.435","12.415","227316.188","219558.344"
"12","10","18","6","53","10.1","7.3","53.791","10.007","73723.383","66182.766"
"12","10","19","1","2","9.5","6.7","2.099","8.418","2831.528","0"
"12","10","20","0","0","9.1","7.3","0","9.1","0","0"
"12","10","21","0","0","8.5","6.7","0","8.5","0","0"
"12","10","22","0","0","7.8","5.7","0","7.8","0","0"
"12","10","23","0","0","8","4.1","0","8","0","0"
"12","11","0","0","0","7.4","3.1","0","7.4","0","0"
"12","11","1","0","0","6.8","2.3","0","6.8","0","0"
"12","11","2","0","0","6.3","1.9","0","6.3","0","0"
"12","11","3","0","0","6.1","2","0","6.1","0","0"
"12","11","4","1","2","4","0.5","0","4","0","0"
"12","11","5","7","56","6.7","3.5","62.274","6.404","86651.836","79116.422"
"12","11","6","29","167","7.6","4.6","178.353","9.887","244157.328","236338.594"
"12","11","7","70","289","10.5","8.8","323.338","14.175","435140.594","426118.719"
"12","11","8","103","394","10.3","6.7","454.494","17.016","605774.25","594880.438"
"12","11","9","109","483","11.7","7.2","556.13","19.867","733152.063","720370.625"
"12","11","10","97","549","12.7","5.1","618.196","24.209","799380.313","785451.813"
"12","11","11","85","586","14.2","6.9","647.214","24.275","836846.188","822218.563"
"12","11","12","86","585","14.9","6.3","647.936","25.633","832473.25","817929.125"
"12","11","13","100","547","14.5","5.7","621.732","25.454","799382.063","785453.5"
"12","11","14","114","479","15.1","4.5","561.527","26.468","718180.813","705642.938"
"12","11","15","109","390","14.6","3.8","460.913","24.588","593952.813","583212.938"
"12","11","16","76","286","14.6","4.1","327.175","21.2","427265.438","418311.781"
"12","11","17","32","166","13.1","3","179.58","16.621","238950.188","231151.063"
"12","11","18","8","56","12.3","2.9","57.363","12.427","77657.258","70118.68"
"12","11","19","1","2","11.8","2.6","2.101","10.134","2811.852","0"
"12","11","20","0","0","10.9","3.2","0","10.9","0","0"
"12","11","21","0","0","10.3","3.3","0","10.3","0","0"
"12","11","22","0","0","9.9","3.3","0","9.9","0","0"
"12","11","23","0","0","9.9","3.5","0","9.9","0","0"
"12","12","0","0","0","9.7","3.5","0","9.7","0","0"
"12","12","1","0","0","10","4.6","0","10","0","0"
"12","12","2","0","0","9.2","3.7","0","9.2","0","0"
"12","12","3","0","0","9.2","4","0","9.2","0","0"
"12","12","4","0","2","9","3.1","0","9","0","0"
"12","12","5","2","41","9.7","5","42.998","9.129","59373.723","51822.277"
"12","12","6","6","128","10.2","5.7","130.069","11.332","177982.969","170361.328"
"12","12","7","12","235","10.7","7.2","238.48","13.497","323490.906","315286.813"
"12","12","8","19","339","12.1","7","345.528","16.801","462113.844","452846.125"
"12","12","9","21","424","13.1","7.5","431.412","19.036","571417.75","560961.375"
"12","12","10","21","482","15","8.2","489.13","21.536","640585.938","629217.875"
"12","12","11","19","510","14.8","7.9","515.321","21.941","673666.875","661819.125"
"12","12","12","19","510","15.1","7.9","515.497","22.271","672871.625","661035.75"
"12","12","13","21","481","14.2","6.2","488.718","22.124","638332.938","626996.563"
"12","12","14","22","423","14.5","7.3","432.041","20.712","567933.063","557519.313"
"12","12","15","20","338","13.7","6.9","345.917","18.68","458832.688","449595.875"
"12","12","16","14","234","12.7","8.2","238.428","15.478","320676.563","312488.875"
"12","12","17","6","127","11.3","5.9","127.813","12.644","173987.266","166373.906"
"12","12","18","2","41","10.1","5.4","40.705","9.71","56068.703","48514.008"
"12","12","19","0","2","9.6","3.6","1.956","8.025","2722.152","0"
"12","12","20","0","0","8.2","4.2","0","8.2","0","0"
"12","12","21","0","0","7.6","3.6","0","7.6","0","0"
"12","12","22","0","0","7.3","3.1","0","7.3","0","0"
"12","12","23","0","0","7.4","2.6","0","7.4","0","0"
"12","13","0","0","0","7.4","2.3","0","7.4","0","0"
"12","13","1","0","0","7.9","2.1","0","7.9","0","0"
"12","13","2","0","0","7.6","2.4","0","7.6","0","0"
"12","13","3","0","0","7.8","2.6","0","7.8","0","0"
"12","13","4","1","2","7.4","3.1","0","7.4","0","0"
"12","13","5","9","59","8.7","3.1","66.662","8.516","91778.281","84243.734"
"12","13","6","37","173","9.4","3.3","190.248","12.364","257184.813","249313.938"
"12","13","7","90","292","11.1","3.6","336.124","17.633","444666.531","435559.938"
"12","13","8","131","394","11.7","3.5","472.137","21.75","615336.563","604315.625"
"12","13","9","137","481","13.1","3.4","575.304","25.905","737219.125","724370.5"
"12","13","10","121","550","14.6","2.6","639.551","30.396","802970.563","788976.625"
"12","13","11","106","588","15.9","3.5","668.188","30.979","836806.938","822180.125"
"12","13","12","107","588","17","3.6","670.188","32.02","835118.563","820524.063"
"12","13","13","124","547","16.7","4.6","643.194","29.671","810520.688","796388.125"
"12","13","14","143","477","17.8","4.5","583.855","29.681","735291.563","722474.875"
"12","13","15","139","389","17.5","5.1","482.674","26.481","616228","605195.125"
"12","13","16","97","289","17.8","6.2","342.524","23.196","442794.781","433705.031"
"12","13","17","41","171","15.6","6.5","188.571","18.047","248957.391","241119.969"
"12","13","18","10","58","14.2","7","59.921","14.268","80332.867","72795.445"
"12","13","19","1","2","12.5","6.2","2.103","11.401","2799.046","0"
"12","13","20","0","0","11.6","7.1","0","11.6","0","0"
"12","13","21","0","0","10.6","6.6","0","10.6","0","0"
"12","13","22","0","0","9.8","5.7","0","9.8","0","0"
"12","13","23","0","0","9.3","4.6","0","9.3","0","0"
"12","14","0","0","0","9.1","3.7","0","9.1","0","0"
"12","14","1","0","0","9.6","3.6","0","9.6","0","0"
"12","14","2","0","0","9.2","2.3","0","9.2","0","0"
"12","14","3","0","0","9.5","2.1","0","9.5","0","0"
"12","14","4","1","2","9.5","1","0","9.5","0","0"
"12","14","5","8","58","10.2","2.8","65.284","9.989","89374.5","81839.633"
"12","14","6","34","171","10.7","3.7","184.396","13.425","248226.484","240391.938"
"12","14","7","81","292","11","5.7","331.834","16.017","442518.625","433431.375"
"12","14","8","119","395","12.2","6","465.615","19.626","612992.188","602002.625"
"12","14","9","125","483","13.2","7","568.271","21.739","742607","729668.75"
"12","14","10","110","551","15.1","7.7","631.294","24.2","816315.875","802075.875"
"12","14","11","97","588","15.6","8.1","660.182","24.889","851144","836240.125"
"12","14","12","97","588","16.7","8.2","661.173","25.966","848138.25","833292.875"
"12","14","13","113","548","17.1","7.2","634.589","26.777","810816.563","796678.563"
"12","14","14","130","479","18","7.3","575.406","26.648","735269.875","722453.563"
"12","14","15","125","391","17.9","6.6","473.812","25.373","608228","597301.813"
"12","14","16","87","288","17.6","6.7","335.923","22.605","435677.719","426651.125"
"12","14","17","37","170","16.2","5.1","185.906","19.035","244514.469","236694.359"
"12","14","18","9","58","14.6","4.5","59.656","14.745","79884.531","72346.93"
"12","14","19","1","2","12","3.1","2.104","10.437","2812.301","0"
"12","14","20","0","0","10.9","3.4","0","10.9","0","0"
"12","14","21","0","0","9.1","2.9","0","9.1","0","0"
"12","14","22","0","0","7.5","2.4","0","7.5","0","0"
"12","14","23","0","0","5.7","1.7","0","5.7","0","0"
"12","15","0","0","0","5","1.2","0","5","0","0"
"12","15","1","0","0","4.3","0.5","0","4.3","0","0"
"12","15","2","0","0","5.1","0.5","0","5.1","0","0"
