"PVWatts: Hourly PV Performance Data"
"Requested Location:","73-987 Makako Bay Dr, Kailua-Kona"
"Location:","Lat, Lon: 19.73, -156.06"
"Lat (deg N):","19.73"
"Long (deg W):","156.06"
"Elev (m):","0"
"DC System Size (kW):","350"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","98"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.425"
"Capacity Factor (%)","19.0"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","16","2","0","0","19","0","0","19","0","0"
"1","16","3","0","0","20","1","0","20","0","0"
"1","16","4","0","0","20","1","0","20","0","0"
"1","16","5","0","0","20","1","0","20","0","0"
"1","16","6","0","0","20","1","0","20","0","0"
"1","16","7","357","26","20","1","124.585","21.82","31455.633","29693.027"
"1","16","8","695","54","21","1","386.334","31.71","105908.414","103763.891"
"1","16","9","828","68","22","2","622.984","37.92","173071.156","170055.641"
"1","16","10","890","76","22","2","807.778","43.255","221134.078","217188.703"
"1","16","11","898","92","23","3","919.791","44.776","250623.375","245980.906"
"1","16","12","899","100","23","3","962.287","45.971","260731.109","255827.531"
"1","16","13","879","104","23","3","924.015","45.219","251242.672","246584.516"
"1","16","14","856","95","23","3","816.882","42.745","224410.094","220392.031"
"1","16","15","800","83","22","3","645.456","37.65","180167.453","177030.734"
"1","16","16","685","65","22","3","415.066","31.938","115004.234","112770.984"
"1","16","17","396","35","22","3","152.67","25.188","38960.391","37187.098"
"1","16","18","0","0","22","3","0","22","0","0"
"1","16","19","0","0","22","2","0","22","0","0"
"1","16","20","0","0","21","2","0","21","0","0"
"1","16","21","0","0","21","2","0","21","0","0"
"1","16","22","0","0","21","2","0","21","0","0"
"1","16","23","0","0","21","1","0","21","0","0"
"1","17","0","0","0","21","1","0","21","0","0"
"1","17","1","0","0","21","1","0","21","0","0"
"1","17","2","0","0","21","1","0","21","0","0"
"1","17","3","0","0","21","1","0","21","0","0"
